goodsNo,name,cat1,cat2,cat3,brand,imgUrl,price,ratingCnt,rating,capacity,mainPoint,useDate,howUse,material,link,feature1,feature2,feature3,skinTypeDry,skinTypeCombination,skinTypeOily,skinConcernsMoisturizing,skinConcernsSoothing,skinConcernsWrinkleWhitening,stimulationMild,stimulationCommon,stimulationHard
A000000183325,프리메라 오가니언스 베리어 리페어 카밍 에센스 토너 160ml,스킨케어,스킨/토너,스킨/토너,프리메라,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018332505ko.jpg?l=ko,"35,000",89,4.9,160ml,모든 피부,개봉 후 12개월 이내 사용,"""세안 후 적당량을 손바닥에 덜거나 화장솜을 이용해 얼굴에 부드럽게 발라주고 가볍게 두드리며 흡수시켜 줍니다.
세안 후 아무것도 바르지 않은 첫 단계에서 사용하시면됩니다.""","정제수, 부틸렌글라이콜, 1,2-헥산다이올, 글리세린, 스쿠알란, 하이드로제네이티드폴리(C6-14올레핀), 락토바실러스발효용해물, 메도우폼씨오일, 해바라기씨오일, 하이드로제네이티드레시틴, 카프릴릴글라이콜, 카라기난, 호두추출물, 리모넨, 콜레스테롤, 에틸헥실글리세린, 다이소듐이디티에이, 당근추출물, 다이포타슘글리시리제이트, 알란토인, 마데카소사이드, 콩폴리펩타이드, 제라니올, 필리핀오렌지껍질오일, 광곽향오일, 베르가모트오일, 리날룰, 검정콩오일, 시트로넬올, 마트리카리아꽃오일, 센티드제라늄꽃오일, 베타-카로틴, 카프릴릭/카프릭트라이글리세라이드, 프로판다이올, 팔마로사오일, 라벤더오일, 토코페롤, 오렌지껍질추출물, 피마자씨오일, 세라마이드엔피, 소듐하이알루로네이트, 로즈마리잎오일, 하이드로제네이티드포스파티딜콜린, 피토스핑고신, 하이드롤라이즈드하이알루로닉애씨드, 다마스크장미꽃오일, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 카놀라오일, 로즈마리잎추출물, 소듐아세틸레이티드하이알루로네이트",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183325&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=156,피부타입,피부고민,자극도,48%,47%,5%,79%,21%,0%,83%,17%,0%
A000000183209,[수분진정] 이니스프리 그린티 히알루론산 스킨 170ml,스킨케어,스킨/토너,스킨/토너,이니스프리,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018320909ko.jpg?l=ko,"12,600",64,4.7,170mL,모든 피부타입,사용기한 36개월 / 개봉 후 12개월,[사용법] 적당량을 덜어 얼굴과 목에 부드럽게 펴발라 줍니다.,"정제수, 프로판다이올, 글리세린, 베타인, 폴리글리세린-3, 1,2-헥산다이올, 락토바실러스발효용해물, 글루코노락톤, 소듐메타포스페이트, 부틸렌글라이콜, 에틸헥실글리세린, 잔탄검, 트로메타민, 녹차추출물, 판테놀, 베타-글루칸, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 토코페롤, 소듐아세틸레이티드하이알루로네이트",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183209&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=157,피부타입,피부고민,자극도,38%,52%,11%,64%,34%,2%,80%,20%,2%
A000000182609,에스티 로더 소프트 클린 인퓨전 하이드레이팅 에센스 로션,스킨케어,스킨/토너,스킨/토너,에스티로더,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018260902ko.jpg?l=ko,"82,000",11,4.9,400ml,모든 피부 타입,제조일로부터 36개월,"아침저녁 세안 후, 손이나 화장솜을 이용하여 발라줍니다. 바른 후 세럼과 모이스처라이저를 발라줍니다.","정제수,글리세레스-26,비스-피이지-18메틸에터다이메틸실레인,폴리솔베이트20,수크로오스,알바수련꽃추출물,소듐하이알루로네이트,트레할로오스,다이포타슘글리시리제이트,카페인,글루타믹애씨드,아스파틱애씨드,세린,류신,알라닌,라이신,알지닌,타이로신,페닐알라닌,프롤린,트레오닌,발린,이소류신,히스티딘,글라이신,스쿠알란,시계꽃꽃추출물,에델바이스추출물,털부처꽃추출물,보리추출물,밀배아추출물,토코페롤,소듐피씨에이,리놀레익애씨드,글리세린,부틸렌글라이콜,우레아,소듐팔미토일프롤린,콜레스테롤,소듐레불리네이트,다이프로필렌글라이콜,시트릭애씨드,폴리비닐아세테이트,트리아세틴,비에이치티,소듐시트레이트,소듐벤조에이트,포타슘솔베이트,클로페네신,소르빅애씨드,다이소듐이디티에이,폴리쿼터늄-51,트로메타민,카보머,향료,페녹시에탄올,에틸헥실글리세린 제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다. 최신정보는 제품 포장의 성분을 참고하시거나 본사 고객관리지원팀으로 연락 부탁 드립니다.",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182609&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=158,피부타입,피부고민,자극도,73%,27%,0%,91%,9%,0%,91%,9%,0%
A000000182720,케어존 아큐어 클래리파잉 토너 240ml,스킨케어,스킨/토너,스킨/토너,케어존,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018272001ko.jpg?l=ko,"17,900",165,4.9,240ml,모든피부용,"개봉전 제조일로부터 36개월, 유통기한 개봉후 12개월","세안 후 토너를 화장솜에 적당량을 덜어 피부결을 따라 부드럽게 닦아내듯 바르고, 톡톡 두드려 흡수시킵니다.","정제수, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 부틸렌글라이콜, 나이아신아마이드, 판테놀, 락토바실러스발효물, 울금뿌리추출물, 소듐시트레이트, 트라이소듐이디티에이, 카르니틴, 시트릭애씨드, 살리실릭애씨드, 베타-글루칸, 알란토인, 소듐하이알루로네이트",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182720&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=159,피부타입,피부고민,자극도,15%,58%,28%,18%,82%,1%,72%,28%,1%
A000000182787,파티온 노스카나인 트러블 클리어 토너 200ml,스킨케어,스킨/토너,스킨/토너,파티온,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018278703ko.jpg?l=ko,"23,000",1610,4.9,200ml / 6.76 fl. oz.,"민감성피부, 여드름성 피부를 포함한 모든 피부 타입","제조일로부터 36개월, 개봉 후 12개월 (2023년 1월 27일 이후 제조된 상품만을 취급)","세안 후 본 내용물을 화장솜에 충분히 적시어 피부 결을 따라 닦아내거나, 손바닥에 덜어 가볍게 두드리며 피부에 흡수 시켜줍니다.","정제수, 2,3-부탄다이올, 에톡시다이글라이콜, 글루코노락톤, 1,2-헥산다이올, 글리세린, 메틸프로판다이올, 글리세레스-26, 트로메타민, 카프릴릴글라이콜, 클로렐라 불가리스추출물, 글루코오스, 판테놀, 부틸렌글라이콜, 프룩토올리고사카라이드, 프룩토오스, 옥틸도데세스-16, 트라이소듐에틸렌다이아민다이석시네이트, 에틸헥실글리세린, 소듐파이테이트, 다이프로필렌글라이콜, 알란토인, 하이드록시아세토페논, 폴리글리세릴-10라우레이트, 소듐헤파린, 백미꽃추출물, 접시꽃추출물, 카프릴로일살리실릭애씨드, 쑥잎추출물, 토코페롤, 4-터피네올, 펜틸렌글라이콜, 카프릴릴/카프릴글루코사이드, 하이드로제네이티드레시틴, 세라마이드엔피",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182787&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=160,피부타입,피부고민,자극도,24%,52%,24%,27%,73%,2%,82%,18%,2%
A000000182986,폴라초이스 스킨퍼펙팅 바하 리퀴드 각질제거제 118ml 기획 (+아하 각질제거 로션 10ml),스킨케어,스킨/토너,스킨/토너,폴라초이스,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018298603ko.jpg?l=ko,"25,500",86,4.6,118ml,모든피부,24개월 / 12개월,"화장솜에 적당량을 덜어 얼굴에 골고루 펴 바릅니다.
물로 씻어낼 필요가 없습니다.","정제수, 글라이콜릭애씨드(5%)(알파파이드록시애씨드/각질제거제), 세틸알코올(질감향상제), 부틸렌글라이콜(보습), 폴리아크릴아마이드(질감향상제), 다이메티콘(보습/질감향상제), 피피지-14부틸에터(질감향상제), 팔미토일헥사펩타이드-12, 세라마이드엔지(피부보충), 테트라하이드로다이페룰로일메탄(피부진정/항산화제), 테트라하이드로디메톡시다이페룰로일메탄(피부진정/항산화제), 테트라하이드로비스디메톡시다이페룰로일메탄(피부진정/항산화제), 에피갈로카테킨갈레이트(항산화제), 살리실릭애씨드(바하각질제거제/피부진정), 다이소듐라우리미노다이프로피오네이트토코페릴포스페이트(비타민E베이스항산화제), 피이지-10피토스테롤(항산화제), 바닐라열매추출물(항산화제), 비사보롤(피부진정), 알란토인(피부진정), 사이클로펜타실록세인(보습), 사이클로헥사실록세인(보습), 다이메티콘올(보습/질감향상제), 트라이베헤닌(질감향상제), C12-15알킬벤조에이트(질감향상제), 피이지-40스테아레이트질감향상제(질감향상제), 솔비탄스테아레이트(질감향상제), 피브이엠/엠에이데카디엔크로스폴리머(질감향상제), 다이소듐이디티에이(안정화제), C13-14아이소파라핀(용제), 라우레스-7(질감향상제), 소듐하이드록사이드(pH조절제), 카프릴릴글라이콜(보존제), 카프릴릭/카프릭트라이글리세라이드(질감향상제), 헥실렌글라이콜(질감향상제), 에틸헥실글리세린(피부컨디셔닝제), 페녹시에탄올(보존제)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182986&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=161,피부타입,피부고민,자극도,10%,48%,42%,24%,42%,34%,36%,44%,20%
A000000183159,비긴스 콤부톡스 스킨 토너 200ml,스킨케어,스킨/토너,스킨/토너,비긴스,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018315904ko.jpg?l=ko,"25,000",2,5.0,200ml,모든피부용,제조일로부터 36개월 (개봉후12개월),세안 후 스킨케어 첫 단계에 적당량을 덜어낸 후 패팅하듯 얼굴 전체에 흡수시켜 주세요.,"효모/자일리눔/홍차발효물,프로판다이올,글리세레스-26,부틸렌글라이콜,1,2-헥산다이올,베르가모트오일,카카오추출물,클레리오일,인도멀구슬나무꽃추출물,홀리바질잎추출물,인도멀구슬나무잎추출물,울금뿌리추출물,참산호말추출물,오렌지껍질오일,정제수,폴리글리세릴-10라우레이트,에틸헥실글리세린,폴리쿼터늄-51덱스트린,글루코노락톤,잔탄검,리모넨,리날룰",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183159&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=162,피부타입,피부고민,자극도,0%,100%,0%,100%,0%,0%,100%,0%,0%
A000000185109,브링그린 티트리시카수딩토너 250mL_NEW,스킨케어,스킨/토너,스킨/토너,브링그린,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018510902ko.jpg?l=ko,"13,500",5286,4.8,■ 250mL,■ 모든 피부용,"■ 제조일로부터 36개월, 개봉 후 12개월","세안 후 화장솜에 내용물을 충분히 덜어 피부결에 따라 닦아내거나, 적당량을 얼굴에 펴 바른 후 톡톡 두드리며 흡수시켜 줍니다.","티트리추출물, 정제수, 다이프로필렌글라이콜, 티트리잎추출물, 티트리잎수, 병풀추출물, 1,2-헥산다이올, 부틸렌글라이콜, 티트리꽃/잎/줄기추출물, 베타인, 판테놀, 옥틸도데세스-16, 소듐시트레이트, 시트릭애씨드, 티트리잎오일, 베타인살리실레이트, 잔탄검",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185109&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=163,피부타입,피부고민,자극도,11%,52%,37%,16%,84%,1%,61%,36%,3%
A000000189256,[NEW] 바이오힐보 세라뮨 하이드레이팅 크림 스킨 200ml,스킨케어,스킨/토너,스킨/토너,바이오힐보,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018925604ko.jpg?l=ko,"30,000",52,5.0,200mL,모든 피부용,"제조일로부터 36개월 이내의 상품을 순차적으로 발송, 사용기한 제품에 별도 표기","매일 아침과 저녁, 세안 후 어플리케이터를 활용해 손이나 피부에 적당량 덜어,
피부결을 따라 부드럽게 펴 발라준 후 가볍게 두드려 흡수시켜 줍니다.","정제수, 글리세린, 2,3-부탄다이올, 부틸렌글라이콜, 1,2-헥산다이올, 다이페닐다이메티콘, 트라이에틸헥사노인, 펜타에리스리틸테트라에틸헥사노에이트, 세라마이드엔피(1,021.41ppm), 세라마이드엔에스, 세라마이드에이에스, 세라마이드에이피, 세라마이드이오피, 치커리뿌리추출물, 락토바실러스발효용해물, 락토코쿠스발효용해물, 락토바실러스발효물, 락토코쿠스발효물, 블루아가베잎추출물, 아티초크잎추출물, 소듐피씨에이, 마그네슘설페이트, 글리세릴글루코사이드, 피토스핑고신, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 포타슘하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트, 하이드로제네이티드레시틴, 카프릴릭/카프릭트라이글리세라이드, 베타인, 폴리글리세릴-10라우레이트, 판테놀, 알란토인, 소듐스테아로일글루타메이트, 글리세릴스테아레이트, 다이프로필렌글라이콜, 올리브오일, 시어버터, 스쿠알란, 맥아추출물, 판토락톤, 베타-글루칸, 폴리글루타믹애씨드, 콜레스테롤, 펜틸렌글라이콜, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 시트릭애씨드, 잔탄검, 에틸헥실글리세린, 다이소듐이디티에이",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189256&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=164,피부타입,피부고민,자극도,62%,38%,2%,87%,13%,0%,79%,21%,0%
A000000185123,[이동욱PICK] 더마펌 수딩 리페어 토너 R4 200ml+200ml 기획,스킨케어,스킨/토너,스킨/토너,더마펌,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018512307ko.jpg?l=ko,"24,500",87,4.6,200ml + 200ml,모든 피부타입,제조일로부터 36개월 (개봉 후 12 개월),"아침, 저녁 세안 후 손바닥이나 화장솜에 적당량 덜어 피부결에 따라 부드럽게 발라 줍니다.","정제수,부틸렌글라이콜,글리세린,프로판다이올,하이드록시에틸우레아,트레할로오스,카프릴릴글라이콜,C12-14파레스-12,알란토인,1,2-헥산다이올,에틸헥실글리세린,암모늄폴리아크릴로일다이메틸타우레이트,하이드로제네이티드레시틴,카프릴릭/카프릭트라이글리세라이드,병풀추출물,다이소듐이디티에이,향료,소듐하이알루로네이트,쇠비름추출물,소듐구아이아줄렌설포네이트,버지니아풍년화추출물,알지닌,소듐서팩틴,포타슘세틸포스페이트,팔미토일트라이펩타이드-1,카퍼트라이펩타이드-1,들깨잎추출물,유칼립투스잎추출물,소듐폴리아크릴로일다이메틸타우레이트,락토바실러스/쌀발효물,글라이신,세린,아스파틱애씨드,글루타믹애씨드,류신,알라닌,라이신,프롤린,페닐알라닌,발린,트레오닌,아이소류신,타이로신,히스티딘,메티오닌,시스테인",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185123&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=165,피부타입,피부고민,자극도,26%,67%,7%,45%,51%,5%,62%,38%,0%
A000000185985,차앤박(CNP) 옴므랩 프레쉬 토너 120ml 기획세트(+로션31ml&클렌징폼50ml 증정),스킨케어,스킨/토너,스킨/토너,차앤박옴므,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018598503ko.jpg?l=ko,"28,000",51,4.8,토너120ml+(증)로션31ml+(증)클렌징폼50ml,모든피부용,36개월 / 개봉 후 12개월,"아침/저녁 옴므 클렌저로 세안을 한 후 1~2회 펌핑 하여 피부결을 따라 고르게 발라줍니다.
면도한 부위를 신경써서 듬뿍바르시거나, 화장솜에 듬뿍 묻혀서 얹어두시면 더욱 좋습니다.","정제수, 다이프로필렌글라이콜, 글리세린, 나이아신아마이드, 1,2-헥산다이올, 피이지-60하이드로제네이티드캐스터오일, 부틸렌글라이콜, 판테놀, 알란토인, 오렌지오일, 징크피씨에이, 베르가모트오일, 왕귤껍질오일, 센티드제라늄꽃오일, 쇠비름추출물, 필리핀오렌지껍질오일, 라반딘오일, 일랑일랑꽃오일, 메틸프로판다이올, 아틀라스시다나무껍질오일, 세드랏껍질오일, 타우린, 스피어민트잎오일, 육계잎오일, 커피콩추출물, 글리시레티닉애씨드, 트라이소듐이디티에이",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000185985&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=166,피부타입,피부고민,자극도,7%,79%,14%,50%,43%,7%,64%,36%,0%
A000000188874,[단독기획]웰라쥬 리얼 히알루로닉 100 토너 300ml 기획 (+화장솜 60매),스킨케어,스킨/토너,스킨/토너,웰라쥬,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018887418ko.jpg?l=ko,"28,000",430,4.9,300ml,모든 피부용,제조일로부터 36개월,"세안 후 내용물을 적당량 덜어 피부 결을 따라 부드럽게 펴 발라준 후 가볍게 두드려 흡수시켜 줍니다.
닦토 시에는 세안 후 토너를 화장솜에 듬뿍 적셔 가볍게 피부결을 정돈시켜 줍니다.","하이드롤라이즈드하이알루로닉애씨드(932601.50052ppm), 글리세린, 프로판다이올, 하이드로제네이티드레시틴, 소듐하이알루로네이트 (1.0052ppm), 1,2-헥산다이올, 알지닌, 벤질글라이콜, 베타인, 부틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 시트릭애씨드, 다이메틸실란올하이알루로네이트, 다이소듐이디티에이, 에틸헥실글리세린, 글라이신, 히스티딘, 하이알루로닉애씨드(1.00001ppm), 하이드롤라이즈드글라이코사미노글리칸(0.0056ppm), 하이드롤라이즈드소듐하이알루로네이트(1.5ppm), 하이드록시프로필트라이모늄하이알루로네이트(0.80012ppm), 라이소레시틴, 포타슘하이알루로네이트, 세린, 소듐아세틸레이티드하이알루로네이트(0.400002ppm), 소듐시트레이트, 소듐하이알루로네이트크로스폴리머(0.801ppm), 소듐하이알루로네이트다이메틸실란올, 소듐피씨에이, 소듐스테아로일글루타메이트, 수크로오스라우레이트, 토코페롤, 정제수, 잔탄검",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188874&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=167,피부타입,피부고민,자극도,45%,46%,10%,75%,25%,1%,83%,17%,1%
A000000188830,조선미녀 인삼에센스워터 150ml,스킨케어,스킨/토너,스킨/토너,조선미녀,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018883002ko.jpg?l=ko,"14,400",34,4.5,150ml,모든타입,제조일부터36개월/개봉후12개월이내,세안 후 적당량을 화장솜 또는 손에 덜어 얼굴 전체에 가볍게 두드려 흡수시켜줍니다.,"인삼수, 부틸렌글라이콜, 글리세린, 프로판다이올, 나이아신아마이드, 1,2-헥산다이올, 정제수, 하이드록시아세토페논, 글리세릴글루코사이드, 잔탄검, 판테놀, 다이포타슘글리시리제이트, 알란토인, 아데노신, 인삼캘러스배양추출물, 카카오추출물, 덱스트린, 글루코오스, 인삼추출물, 인삼열매추출물, 락토바실러스/홍삼발효여과물, 소듐하이알루로네이트, 에틸헥실글리세린, 다이소듐이디티에이",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188830&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=168,피부타입,피부고민,자극도,32%,59%,9%,59%,29%,12%,76%,21%,3%
A000000188790,닐스야드 레머디스 와일드 로즈 아하 토너 200ml,스킨케어,스킨/토너,스킨/토너,닐스야드 레머디스,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018879004ko.jpg?l=ko,"40,300",0,0,200ml,모든피부타입 푸석하고 탄력을 잃은 피부에 추천,제조일로부터 24개월,"사용하기 전에 흔들어주세요
매일아침, 저녁 클렌징 후에 코튼패드에 적당량을 묻혀 아래에서 위로 쓸어주듯이 부드럽게 닦아주세요.
같은 컬렉션을 함께 사용 시, 더욱 눈에 띄는 효과를 경험하실 수 있습니다.","알로에베라잎즙, 폴리글리세릴-10카프릴레이트, 글리세린, 폴리글리세릴-10라우레이트, 정제수, 레불리닉애씨드, 센티드제라늄꽃오일, 시트릭애씨드(0.2%), 포타슘솔베이트, 소듐레불리네이트,
보스웰리아 사크라수지오일, 로즈마리잎오일, 팔마로사오일, 광곽향잎오일, 로즈힙열매오일(0.075%), 핑거라임열매추출물, 제라니올, 시트로넬올, 리모넨, 리날룰, 시트랄, 파네솔",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188790&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=169,,,,,,,,,,,,
A000000188598,조선미녀 붉은 팥 수분 워터 젤 100ml,스킨케어,스킨/토너,스킨/토너,조선미녀,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018859801ko.jpg?l=ko,"14,400",22,5.0,100ml,모든피부타입,제조일부터36개월/개봉후12개월이내,스킨케어 마무리 단계에서 적당량을 덜어 피부에 부드럽게 흡수시켜 줍니다.,"팥추출물, 정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 메틸트라이메티콘, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 글리세릴글루코사이드, C12-14파레스-12, 말토덱스트린, 암모늄아크릴로일다이메틸타우레이트/브이피코폴 리머, 다이메티콘/비닐다이메티콘크로스폴리머, 다이메티콘크로스폴리머, 에틸헥실글리세린, 베타인, 판테놀, 알란토인, 다이포타슘글리시리제이트, 폴리쿼터늄-51, 잔탄검, 다이소듐이디티에이, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 참마뿌리추출물, 글루코오스, 소듐시트레이트, 베타-글루칸, 하이드롤라이즈드옥수수전분, 시트릭애씨드, 수크로오스, 카프릴릴글라이콜, 해바라기씨오일, 토코페롤, 사이아노코발아민, 글라이신, 세린, 글루타믹애씨드, 마그네슘아스코빌포스페이트, 아스파틱애씨드, 류신, 아세틸헥사펩타이드-8, 알라닌, 라이신, 알지닌, 타이로신, 페닐알라닌, 프롤린, 트레오닌, 발린, 아이소류신, 히스티딘, 시스테인, 메티오닌, 에스에이치-올리고펩타이드-1, 에스에이치-올리고펩타이드-2, 에스에이치-폴리펩타이드-1",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188598&dispCatNo=100000100010013&trackingCd=Cat100000100010013_Small&t_page=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EA%B4%80&t_click=%EC%8A%A4%ED%82%A8/%ED%86%A0%EB%84%88_%EC%A0%84%EC%B2%B4__%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=170,피부타입,피부고민,자극도,41%,27%,32%,82%,18%,0%,86%,14%,0%
